title,descripcion,salario,experience_text,url,company,location,source,salario_numerico,seniority,years_required,skills
Business Analyst Ti,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=2,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Planificación Área Retail En Vitacura 1.400.000 Líquidos (Reemplazo),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=2,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
It Technology Analyst,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=2,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Bussines Analyst,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=2,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Planificación Empresarial,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=2,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Planificación Para Vitacura 1.400.000 Líquidos (Reemplazo Pre Y Post Natal),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti?p=2,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Business Analyst Financiero,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Business Analyst – Proyectos Digitales / Ecommerce,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Business Intelligence / Soctor Utilities,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Business Analyst –Digital Analytics,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Business Intelligence,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-business-analyst-ti#387C6728FFEB9CDF61373E686DCF3405,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
